zone,date_time,count
Airport,2014-06-15 13:00:00+00,37
Airport,2014-06-15 14:00:00+00,80
Airport,2014-06-15 15:00:00+00,79
Airport,2014-06-15 16:00:00+00,75
Airport,2014-06-15 17:00:00+00,76
Airport,2014-06-15 18:00:00+00,93
Airport,2014-06-15 19:00:00+00,131
Airport,2014-06-15 20:00:00+00,153
Airport,2014-06-15 21:00:00+00,149
Airport,2014-06-15 22:00:00+00,140
Airport,2014-06-15 23:00:00+00,57
Airport,2014-06-16 00:00:00+00,3
Airport,2014-06-16 01:00:00+00,11
Airport,2014-06-16 03:00:00+00,3
Airport,2014-06-16 04:00:00+00,19
Airport,2014-06-16 05:00:00+00,42
Airport,2014-06-16 06:00:00+00,44
Airport,2014-06-16 07:00:00+00,48
Airport,2014-06-16 08:00:00+00,81
Airport,2014-06-16 09:00:00+00,79
Airport,2014-06-16 10:00:00+00,50
Airport,2014-06-16 11:00:00+00,48
Airport,2014-06-16 12:00:00+00,58
Airport,2014-06-16 13:00:00+00,58
Airport,2014-06-16 14:00:00+00,82
Airport,2014-06-16 15:00:00+00,75
Airport,2014-06-16 16:00:00+00,60
Airport,2014-06-16 17:00:00+00,60
Airport,2014-06-16 18:00:00+00,65
Airport,2014-06-16 19:00:00+00,77
Airport,2014-06-16 20:00:00+00,78
Airport,2014-06-16 21:00:00+00,57
Airport,2014-06-16 22:00:00+00,66
Airport,2014-06-16 23:00:00+00,38
Airport,2014-06-17 00:00:00+00,4
Airport,2014-06-17 02:00:00+00,2
Airport,2014-06-17 04:00:00+00,6
Airport,2014-06-17 05:00:00+00,17
Airport,2014-06-17 06:00:00+00,30
Airport,2014-06-17 07:00:00+00,33
Airport,2014-06-17 08:00:00+00,45
Airport,2014-06-17 09:00:00+00,38
Airport,2014-06-17 10:00:00+00,44
Airport,2014-06-17 11:00:00+00,26
Airport,2014-06-17 12:00:00+00,44
Airport,2014-06-17 13:00:00+00,52
Airport,2014-06-17 14:00:00+00,50
Airport,2014-06-17 15:00:00+00,40
Airport,2014-06-17 16:00:00+00,53
Airport,2014-06-17 17:00:00+00,50
Airport,2014-06-17 18:00:00+00,72
Airport,2014-06-17 19:00:00+00,68
Airport,2014-06-17 20:00:00+00,70
Airport,2014-06-17 21:00:00+00,41
Airport,2014-06-17 22:00:00+00,73
Airport,2014-06-17 23:00:00+00,33
Airport,2014-06-18 00:00:00+00,11
Airport,2014-06-18 04:00:00+00,11
Airport,2014-06-18 05:00:00+00,16
Airport,2014-06-18 06:00:00+00,25
Airport,2014-06-18 07:00:00+00,30
Airport,2014-06-18 08:00:00+00,33
Airport,2014-06-18 09:00:00+00,41
Airport,2014-06-18 10:00:00+00,40
Airport,2014-06-18 11:00:00+00,33
Airport,2014-06-18 12:00:00+00,42
Airport,2014-06-18 13:00:00+00,56
Airport,2014-06-18 14:00:00+00,51
Airport,2014-06-18 15:00:00+00,69
Airport,2014-06-18 16:00:00+00,64
Airport,2014-06-18 17:00:00+00,62
Airport,2014-06-18 18:00:00+00,78
Airport,2014-06-18 19:00:00+00,61
Airport,2014-06-18 20:00:00+00,88
Airport,2014-06-18 21:00:00+00,79
Airport,2014-06-18 22:00:00+00,68
Airport,2014-06-18 23:00:00+00,60
Airport,2014-06-19 00:00:00+00,20
Airport,2014-06-19 01:00:00+00,3
Airport,2014-06-19 04:00:00+00,12
Airport,2014-06-19 05:00:00+00,26
Airport,2014-06-19 06:00:00+00,27
Airport,2014-06-19 07:00:00+00,31
Airport,2014-06-19 08:00:00+00,27
Airport,2014-06-19 09:00:00+00,35
Airport,2014-06-19 10:00:00+00,26
Airport,2014-06-19 11:00:00+00,30
Airport,2014-06-19 12:00:00+00,49
Airport,2014-06-19 13:00:00+00,63
Airport,2014-06-19 14:00:00+00,79
Airport,2014-06-19 15:00:00+00,80
Airport,2014-06-19 16:00:00+00,84
Airport,2014-06-19 17:00:00+00,68
Airport,2014-06-19 18:00:00+00,108
Airport,2014-06-19 19:00:00+00,113
Airport,2014-06-19 20:00:00+00,141
Airport,2014-06-19 21:00:00+00,141
Airport,2014-06-19 22:00:00+00,89
Airport,2014-06-19 23:00:00+00,71
Airport,2014-06-20 00:00:00+00,7
Airport,2014-06-20 01:00:00+00,8
Airport,2014-06-20 04:00:00+00,17
Airport,2014-06-20 05:00:00+00,31
Airport,2014-06-20 06:00:00+00,29
Airport,2014-06-20 07:00:00+00,18
Airport,2014-06-20 08:00:00+00,30
Airport,2014-06-20 09:00:00+00,27
Airport,2014-06-20 10:00:00+00,29
Airport,2014-06-20 11:00:00+00,53
Airport,2014-06-20 12:00:00+00,45
Airport,2014-06-20 13:00:00+00,46
Airport,2014-06-20 14:00:00+00,72
Airport,2014-06-20 15:00:00+00,75
Airport,2014-06-20 16:00:00+00,72
Airport,2014-06-20 17:00:00+00,73
Airport,2014-06-20 18:00:00+00,53
Airport,2014-06-20 19:00:00+00,48
Airport,2014-06-20 20:00:00+00,85
Airport,2014-06-20 21:00:00+00,48
Airport,2014-06-20 22:00:00+00,42
Airport,2014-06-20 23:00:00+00,24
Airport,2014-06-21 00:00:00+00,6
Airport,2014-06-21 01:00:00+00,5
Airport,2014-06-21 03:00:00+00,2
Airport,2014-06-21 04:00:00+00,11
Airport,2014-06-21 05:00:00+00,19
Airport,2014-06-21 06:00:00+00,8
Airport,2014-06-21 07:00:00+00,18
Airport,2014-06-21 08:00:00+00,12
Airport,2014-06-21 09:00:00+00,12
Airport,2014-06-21 10:00:00+00,23
Airport,2014-06-21 11:00:00+00,19
Airport,2014-06-21 12:00:00+00,31
Airport,2014-06-21 13:00:00+00,29
Airport,2014-06-21 14:00:00+00,75
Airport,2014-06-21 15:00:00+00,43
Airport,2014-06-21 16:00:00+00,40
Airport,2014-06-21 17:00:00+00,29
Airport,2014-06-21 18:00:00+00,30
Airport,2014-06-21 19:00:00+00,31
Airport,2014-06-21 20:00:00+00,30
Airport,2014-06-21 21:00:00+00,27
Airport,2014-06-21 22:00:00+00,42
Airport,2014-06-21 23:00:00+00,21
Airport,2014-06-22 00:00:00+00,4
Airport,2014-06-22 04:00:00+00,7
Airport,2014-06-22 05:00:00+00,12
Airport,2014-06-22 06:00:00+00,10
Airport,2014-06-22 07:00:00+00,8
Airport,2014-06-22 08:00:00+00,7
Airport,2014-06-22 09:00:00+00,17
Airport,2014-06-22 10:00:00+00,35
Airport,2014-06-22 11:00:00+00,35
Airport,2014-06-22 12:00:00+00,51
Airport,2014-06-22 13:00:00+00,61
Airport,2014-06-22 14:00:00+00,116
Airport,2014-06-22 15:00:00+00,105
Airport,2014-06-22 16:00:00+00,73
Airport,2014-06-22 17:00:00+00,69
Airport,2014-06-22 18:00:00+00,73
Airport,2014-06-22 19:00:00+00,127
Airport,2014-06-22 20:00:00+00,180
Airport,2014-06-22 21:00:00+00,155
Airport,2014-06-22 22:00:00+00,131
Airport,2014-06-22 23:00:00+00,78
Airport,2014-06-23 00:00:00+00,3
Airport,2014-06-23 01:00:00+00,2
Airport,2014-06-23 02:00:00+00,2
Airport,2014-06-23 04:00:00+00,23
Airport,2014-06-23 05:00:00+00,46
Airport,2014-06-23 06:00:00+00,63
Airport,2014-06-23 07:00:00+00,54
Airport,2014-06-23 08:00:00+00,50
Airport,2014-06-23 09:00:00+00,83
Airport,2014-06-23 10:00:00+00,56
Airport,2014-06-23 11:00:00+00,46
Airport,2014-06-23 12:00:00+00,54
Airport,2014-06-23 13:00:00+00,51
Airport,2014-06-23 14:00:00+00,84
Airport,2014-06-23 15:00:00+00,85
Airport,2014-06-23 16:00:00+00,83
Airport,2014-06-23 17:00:00+00,46
Airport,2014-06-23 18:00:00+00,71
Airport,2014-06-23 19:00:00+00,69
Airport,2014-06-23 20:00:00+00,67
Airport,2014-06-23 21:00:00+00,62
Airport,2014-06-23 22:00:00+00,73
Airport,2014-06-23 23:00:00+00,45
Airport,2014-06-24 00:00:00+00,6
Airport,2014-06-24 04:00:00+00,5
Airport,2014-06-24 05:00:00+00,35
Airport,2014-06-24 06:00:00+00,40
Airport,2014-06-24 07:00:00+00,40
Airport,2014-06-24 08:00:00+00,37
Airport,2014-06-24 09:00:00+00,49
Airport,2014-06-24 10:00:00+00,36
Airport,2014-06-24 11:00:00+00,35
Airport,2014-06-24 12:00:00+00,47
Airport,2014-06-24 13:00:00+00,36
Airport,2014-06-24 14:00:00+00,64
Airport,2014-06-24 15:00:00+00,53
Airport,2014-06-24 16:00:00+00,60
Airport,2014-06-24 17:00:00+00,48
Airport,2014-06-24 18:00:00+00,77
Airport,2014-06-24 19:00:00+00,71
Airport,2014-06-24 20:00:00+00,72
Airport,2014-06-24 21:00:00+00,49
Airport,2014-06-24 22:00:00+00,53
Airport,2014-06-24 23:00:00+00,31
Airport,2014-06-25 00:00:00+00,12
Airport,2014-06-25 01:00:00+00,6
Airport,2014-06-25 04:00:00+00,16
Airport,2014-06-25 05:00:00+00,30
Airport,2014-06-25 06:00:00+00,29
Airport,2014-06-25 07:00:00+00,41
Airport,2014-06-25 08:00:00+00,33
Airport,2014-06-25 09:00:00+00,36
Airport,2014-06-25 10:00:00+00,47
Airport,2014-06-25 11:00:00+00,44
Airport,2014-06-25 12:00:00+00,48
Airport,2014-06-25 13:00:00+00,49
Airport,2014-06-25 14:00:00+00,55
Airport,2014-06-25 15:00:00+00,76
Airport,2014-06-25 16:00:00+00,86
Airport,2014-06-25 17:00:00+00,63
Airport,2014-06-25 18:00:00+00,40
Airport,2014-06-25 19:00:00+00,54
Airport,2014-06-25 20:00:00+00,52
Airport,2014-06-25 21:00:00+00,53
Airport,2014-06-25 22:00:00+00,93
Airport,2014-06-25 23:00:00+00,102
Airport,2014-06-26 00:00:00+00,63
Airport,2014-06-26 01:00:00+00,32
Airport,2014-06-26 02:00:00+00,4
Airport,2014-06-26 03:00:00+00,29
Airport,2014-06-26 04:00:00+00,13
Airport,2014-06-26 05:00:00+00,17
Airport,2014-06-26 06:00:00+00,33
Airport,2014-06-26 07:00:00+00,52
Airport,2014-06-26 08:00:00+00,30
Airport,2014-06-26 09:00:00+00,42
Airport,2014-06-26 10:00:00+00,35
Airport,2014-06-26 11:00:00+00,32
Airport,2014-06-26 12:00:00+00,64
Airport,2014-06-26 13:00:00+00,58
Airport,2014-06-26 14:00:00+00,80
Airport,2014-06-26 15:00:00+00,66
Airport,2014-06-26 16:00:00+00,87
Airport,2014-06-26 17:00:00+00,106
Airport,2014-06-26 18:00:00+00,71
Airport,2014-06-26 19:00:00+00,116
Airport,2014-06-26 20:00:00+00,142
Airport,2014-06-26 21:00:00+00,117
