"","zone","forcasttime","forcastcount"
"216","Bayside-Bayside Hills",2014-07-01 02:00:00,2
"217","Bedford",2014-07-01 00:00:00,4
"218","Bedford",2014-07-01 01:00:00,4
"219","Bedford",2014-07-01 03:00:00,4
"220","Bedford",2014-07-01 04:00:00,4
"221","Bedford",2014-07-01 05:00:00,4
"222","Bedford",2014-07-01 06:00:00,4
"223","Bedford",2014-07-01 07:00:00,5
"224","Bedford",2014-07-01 08:00:00,4
"225","Bedford",2014-07-01 09:00:00,5
"226","Bedford",2014-07-01 10:00:00,5
"227","Bedford",2014-07-01 11:00:00,4
"228","Bedford",2014-07-01 12:00:00,4
"229","Bedford",2014-07-01 13:00:00,4
"230","Bedford",2014-07-01 14:00:00,4
"231","Bedford",2014-07-01 15:00:00,4
"232","Bedford",2014-07-01 16:00:00,4
"233","Bedford",2014-07-01 17:00:00,4
"234","Bedford",2014-07-01 18:00:00,4
"235","Bedford",2014-07-01 19:00:00,5
"236","Bedford",2014-07-01 20:00:00,6
"237","Bedford",2014-07-01 21:00:00,4
"238","Bedford",2014-07-01 22:00:00,4
"239","Bedford",2014-07-01 23:00:00,4
"240","Bedford",2014-07-01 02:00:00,4
"241","Bellerose",2014-07-01 00:00:00,2
"242","Bellerose",2014-07-01 01:00:00,2
"243","Bellerose",2014-07-01 03:00:00,2
"244","Bellerose",2014-07-01 04:00:00,2
"245","Bellerose",2014-07-01 05:00:00,2
"246","Bellerose",2014-07-01 06:00:00,2
"247","Bellerose",2014-07-01 07:00:00,2
"248","Bellerose",2014-07-01 08:00:00,2
"249","Bellerose",2014-07-01 09:00:00,2
"250","Bellerose",2014-07-01 10:00:00,2
"251","Bellerose",2014-07-01 11:00:00,2
"252","Bellerose",2014-07-01 12:00:00,2
"253","Bellerose",2014-07-01 13:00:00,2
"254","Bellerose",2014-07-01 14:00:00,2
"255","Bellerose",2014-07-01 15:00:00,2
"256","Bellerose",2014-07-01 16:00:00,2
"257","Bellerose",2014-07-01 17:00:00,2
"258","Bellerose",2014-07-01 18:00:00,2
"259","Bellerose",2014-07-01 19:00:00,2
"260","Bellerose",2014-07-01 20:00:00,2
"261","Bellerose",2014-07-01 21:00:00,2
"262","Bellerose",2014-07-01 22:00:00,2
"263","Bellerose",2014-07-01 23:00:00,2
"264","Bellerose",2014-07-01 02:00:00,2
"265","Belmont",2014-07-01 00:00:00,2
"266","Belmont",2014-07-01 01:00:00,2
"267","Belmont",2014-07-01 03:00:00,2
"268","Belmont",2014-07-01 04:00:00,2
"269","Belmont",2014-07-01 05:00:00,2
"270","Belmont",2014-07-01 06:00:00,2
"271","Belmont",2014-07-01 07:00:00,2
"272","Belmont",2014-07-01 08:00:00,2
"273","Belmont",2014-07-01 09:00:00,2
"274","Belmont",2014-07-01 10:00:00,2
"275","Belmont",2014-07-01 11:00:00,2
"276","Belmont",2014-07-01 12:00:00,2
"277","Belmont",2014-07-01 13:00:00,2
"278","Belmont",2014-07-01 14:00:00,2
"279","Belmont",2014-07-01 15:00:00,2
"280","Belmont",2014-07-01 16:00:00,2
"281","Belmont",2014-07-01 17:00:00,2
"282","Belmont",2014-07-01 18:00:00,2
"283","Belmont",2014-07-01 19:00:00,2
"284","Belmont",2014-07-01 20:00:00,2
"285","Belmont",2014-07-01 21:00:00,2
"286","Belmont",2014-07-01 22:00:00,2
"287","Belmont",2014-07-01 23:00:00,2
"288","Belmont",2014-07-01 02:00:00,2
"289","Bensonhurst East",2014-07-01 00:00:00,2
"290","Bensonhurst East",2014-07-01 01:00:00,2
